X,Y,R.mantel,P.mantel,R.cosine,P.cosine,P.transform,P.adjust,class.w
20,75,0.761135767159803,0.96,0.76748648818409,0.96,0.04,0.0491228070175439,tomato
20,80,0.752403129864764,0.96,0.758725191656524,0.96,0.04,0.0491228070175439,tomato
20,85,0.751640543553234,0.98,0.757948724286517,0.98,0.02,0.0270967741935484,tomato
20,90,0.742083350835564,0.99,0.748365257269449,0.99,0.01,0.0148936170212766,tomato
20,95,0.744474581814928,0.98,0.750765143991464,0.98,0.02,0.0270967741935484,tomato
20,100,0.749973685806037,0.98,0.756226574373717,0.98,0.02,0.0270967741935484,tomato
25,30,0.995497850525159,1,0.995622544913921,1,0,0,tomato
25,35,0.989130424288026,1,0.989398848479435,1,0,0,tomato
25,40,0.98798464626337,1,0.988266825452437,1,0,0,tomato
25,45,0.9761996109972,1,0.976626839293168,1,0,0,tomato
25,50,0.968447230387309,1,0.968971149267988,1,0,0,tomato
25,55,0.966010461904551,1,0.966566177580333,1,0,0,tomato
25,60,0.964942237520002,1,0.965482376920224,1,0,0,tomato
25,65,0.96592068998599,1,0.966415307777248,1,0,0,tomato
25,70,0.963484453604289,1,0.964025631457618,1,0,0,tomato
25,75,0.96311896480126,1,0.963655574549274,1,0,0,tomato
25,80,0.953840718616436,1,0.954474822720735,1,0,0,tomato
25,85,0.952683673967122,1,0.953328193971716,1,0,0,tomato
25,90,0.940910116643289,1,0.941695123766662,1,0,0,tomato
25,95,0.94319998213847,1,0.94397087900814,1,0,0,tomato
25,100,0.948290551147772,1,0.94899323448443,1,0,0,tomato
30,35,0.99698038236255,1,0.997057571617493,1,0,0,tomato
30,40,0.99372562604738,1,0.993892676672776,1,0,0,tomato
30,45,0.988073869018431,1,0.988272742654888,1,0,0,tomato
30,50,0.980095439822019,1,0.980427208938161,1,0,0,tomato
30,55,0.978656228721443,1,0.978998926986169,1,0,0,tomato
30,60,0.977399802815797,1,0.977742712837048,1,0,0,tomato
30,65,0.976937028059367,1,0.977280188855143,1,0,0,tomato
30,70,0.975703981270363,1,0.976062779628176,1,0,0,tomato
30,75,0.975135861273967,1,0.975498849780978,1,0,0,tomato
30,80,0.964711353625819,1,0.96522805256072,1,0,0,tomato
30,85,0.964051507279921,1,0.964568085607497,1,0,0,tomato
30,90,0.950399328893267,1,0.9511266752787,1,0,0,tomato
30,95,0.95163985697221,1,0.952375513052337,1,0,0,tomato
30,100,0.954242551427917,1,0.95497046462897,1,0,0,tomato
35,40,0.994932926770208,1,0.995082899607262,1,0,0,tomato
35,45,0.990643885863337,1,0.990841336388278,1,0,0,tomato
35,50,0.981385532174907,1,0.981770285079421,1,0,0,tomato
35,55,0.979840502169027,1,0.980244636129358,1,0,0,tomato
35,60,0.978519779123429,1,0.97893239171748,1,0,0,tomato
35,65,0.977698288342544,1,0.978123090050362,1,0,0,tomato
35,70,0.977298838944788,1,0.977719481297109,1,0,0,tomato
35,75,0.976135977026574,1,0.976578609719328,1,0,0,tomato
35,80,0.967924157034527,1,0.968476442633205,1,0,0,tomato
35,85,0.967543451915998,1,0.968090839594399,1,0,0,tomato
35,90,0.952236014572619,1,0.953048159719443,1,0,0,tomato
35,95,0.952905652575824,1,0.953735948730161,1,0,0,tomato
35,100,0.95417061394296,1,0.955021130570219,1,0,0,tomato
40,45,0.992611927111945,1,0.992768055438995,1,0,0,tomato
40,50,0.989858541212426,1,0.990030494540226,1,0,0,tomato
40,55,0.987457119564311,1,0.987674505325357,1,0,0,tomato
40,60,0.985715117261624,1,0.985955430796372,1,0,0,tomato
40,65,0.984780020639052,1,0.9850365364124,1,0,0,tomato
40,70,0.984592263742696,1,0.984840566491891,1,0,0,tomato
40,75,0.983914245765987,1,0.984172378566123,1,0,0,tomato
40,80,0.975504114692334,1,0.975885936059516,1,0,0,tomato
40,85,0.975592670093604,1,0.975958668583241,1,0,0,tomato
40,90,0.960912960265094,1,0.961534673363446,1,0,0,tomato
40,95,0.961444267721363,1,0.962085063742341,1,0,0,tomato
40,100,0.962533582963692,1,0.963195143958003,1,0,0,tomato
45,50,0.996916479020194,1,0.996985563996158,1,0,0,tomato
45,55,0.995097386775027,1,0.995206206548369,1,0,0,tomato
45,60,0.994461455195514,1,0.994577118327537,1,0,0,tomato
45,65,0.992565498131147,1,0.992725133739723,1,0,0,tomato
45,70,0.99245552108201,1,0.992612080505548,1,0,0,tomato
45,75,0.991011201210492,1,0.991200063645677,1,0,0,tomato
45,80,0.985393950448187,1,0.985670480858071,1,0,0,tomato
45,85,0.985304210170214,1,0.985575255596615,1,0,0,tomato
45,90,0.96859822126592,1,0.96919489528378,1,0,0,tomato
45,95,0.969026463693024,1,0.969634318737163,1,0,0,tomato
45,100,0.969002800515495,1,0.96964247604827,1,0,0,tomato
50,55,0.998023752098381,1,0.998071852735741,1,0,0,tomato
50,60,0.99781049439056,1,0.997861020692888,1,0,0,tomato
50,65,0.995372557492219,1,0.995481218948074,1,0,0,tomato
50,70,0.995757447512027,1,0.995854122235157,1,0,0,tomato
50,75,0.994863032846113,1,0.994979627335611,1,0,0,tomato
50,80,0.989054432152952,1,0.989279976179689,1,0,0,tomato
50,85,0.988776377905532,1,0.989003347371586,1,0,0,tomato
50,90,0.972455204524286,1,0.973007219448561,1,0,0,tomato
50,95,0.972255297146287,1,0.972828285981733,1,0,0,tomato
50,100,0.971404235666512,1,0.972020643829839,1,0,0,tomato
55,60,0.998673546313131,1,0.998704927564853,1,0,0,tomato
55,65,0.997350201297987,1,0.997412858143728,1,0,0,tomato
55,70,0.998074370204885,1,0.998117897896855,1,0,0,tomato
55,75,0.996425197918837,1,0.99650726153107,1,0,0,tomato
55,80,0.990972757536395,1,0.991160194469418,1,0,0,tomato
55,85,0.99045047026193,1,0.990645737724085,1,0,0,tomato
55,90,0.975342158405812,1,0.97583759532474,1,0,0,tomato
55,95,0.974499782238409,1,0.975029282247914,1,0,0,tomato
55,100,0.970780393655184,1,0.971417230093366,1,0,0,tomato
60,65,0.998186959960308,1,0.998230428672828,1,0,0,tomato
60,70,0.998405978333718,1,0.998443502896749,1,0,0,tomato
60,75,0.997603351069351,1,0.997659413300859,1,0,0,tomato
60,80,0.993759364163426,1,0.993888457128239,1,0,0,tomato
60,85,0.992774829612914,1,0.992923241211108,1,0,0,tomato
60,90,0.97894468756929,1,0.979368020385999,1,0,0,tomato
60,95,0.978193229536744,1,0.978646539418202,1,0,0,tomato
60,100,0.975585818262955,1,0.976117270705999,1,0,0,tomato
65,70,0.999529028334609,1,0.999540048752152,1,0,0,tomato
65,75,0.999246666228914,1,0.999264035474984,1,0,0,tomato
65,80,0.994912710835412,1,0.995017111638273,1,0,0,tomato
65,85,0.992825046889629,1,0.992974506495228,1,0,0,tomato
65,90,0.985397417293661,1,0.985678546914151,1,0,0,tomato
65,95,0.98522462863808,1,0.985521167410591,1,0,0,tomato
65,100,0.983110644046841,1,0.983471517709457,1,0,0,tomato
70,75,0.99927139610889,1,0.99928858499778,1,0,0,tomato
70,80,0.995568922621746,1,0.995660881974429,1,0,0,tomato
70,85,0.993642546865293,1,0.993776031624374,1,0,0,tomato
70,90,0.98442766092871,1,0.984735284601186,1,0,0,tomato
70,95,0.983510210107087,1,0.983849499115911,1,0,0,tomato
70,100,0.979681106710042,1,0.980122956271492,1,0,0,tomato
75,80,0.99533076214244,1,0.995429667402859,1,0,0,tomato
