"individual1","individual2","dyad","deployment","group","retreived","sex"
"203694","218646","203694:218646",2018,"Between","2_logger","F:M"
"203140","218646","203140:218646",2018,"Between","2_logger","F:M"
"202119","203140","202119:203140",2018,"Between","2_logger","F:M"
"203140","203581","203140:203581",2018,"Between","2_logger","M:M"
"203694","203694","203694:203694",2018,"Within","2_logger","M:M"
"217888","219520","217888:219520",2018,"Between","2_logger","F:M"
"218340","219520","218340:219520",2018,"Between","2_logger","F:M"
"202177","203694","202177:203694",2018,"Between","2_logger","F:M"
"203694","219520","203694:219520",2018,"Between","2_logger","F:M"
"187214","217579","187214:217579",2018,"Between","1_logger","F:F"
"202177","202177","202177:202177",2018,"Within","2_logger","F:F"
"202177","217564","202177:217564",2018,"Between","1_logger","F:F"
"203694","217167","203694:217167",2018,"Between","1_logger","M:M"
"217167","217888","217167:217888",2018,"Within","1_logger","M:M"
"203694","217564","203694:217564",2018,"Within","1_logger","F:M"
"202119","218922","202119:218922",2018,"Within","1_logger","F:F"
"218922","219520","218922:219520",2018,"Within","1_logger","F:F"
"202177","218922","202177:218922",2018,"Within","1_logger","F:F"
"203140","217564","203140:217564",2018,"Between","1_logger","F:M"
"203847","217564","203847:217564",2018,"Between","1_logger","F:M"
"204390","219787","204390:219787",2018,"Within","1_logger","F:F"
"203140","217167","203140:217167",2018,"Within","1_logger","M:M"
"204390","216920","204390:216920",2018,"Within","1_logger","F:F"
"203770","219787","203770:219787",2018,"Within","1_logger","F:F"
"203770","216920","203770:216920",2018,"Within","1_logger","F:F"
"204390","216875","204390:216875",2018,"Between","1_logger","F:M"
"204390","216893","204390:216893",2018,"Between","1_logger","F:M"
"203770","216893","203770:216893",2018,"Between","1_logger","F:M"
"203770","218938","203770:218938",2018,"Between","1_logger","F:M"
"216920","218938","216920:218938",2018,"Between","1_logger","F:M"
"204390","218959","204390:218959",2018,"Between","1_logger","F:F"
"216875","218938","216875:218938",2018,"Within","1_logger","M:M"
"216893","218938","216893:218938",2018,"Within","1_logger","M:M"
"204390","218938","204390:218938",2018,"Between","1_logger","F:M"
"202177","217167","202177:217167",2018,"Between","1_logger","F:M"
"203770","216875","203770:216875",2018,"Between","1_logger","F:M"
"203770","218959","203770:218959",2018,"Between","1_logger","F:F"
"216875","218959","216875:218959",2018,"Between","1_logger","F:M"
"217167","217564","217167:217564",2018,"Between","1_logger","F:M"
"217941","218922","217941:218922",2018,"Between","1_logger","F:M"
"203770","218994","203770:218994",2018,"Within","1_logger","F:F"
"187214","218959","187214:218959",2018,"Within","1_logger","F:F"
"204390","218994","204390:218994",2018,"Within","1_logger","F:F"
"218938","218994","218938:218994",2018,"Between","1_logger","F:M"
"217564","217941","217564:217941",2018,"Within","1_logger","F:M"
"217564","218922","217564:218922",2018,"Between","1_logger","F:F"
"216920","218959","216920:218959",2018,"Between","1_logger","F:F"
"218938","218959","218938:218959",2018,"Between","1_logger","F:M"
"187214","218938","187214:218938",2018,"Between","1_logger","F:M"
"218959","218994","218959:218994",2018,"Between","1_logger","F:F"
"187214","203770","187214:203770",2018,"Between","2_logger","F:F"
"218959","218959","218959:218959",2018,"Within","1_logger","F:F"
"187214","217222","187214:217222",2018,"Within","1_logger","F:F"
